seed,layout_class,min_pair_distance_m,mean_pair_distance_m,span_x_m,span_y_m,all_found_index,search_distance_m,search_time_s,phase0_time_s,phase1_time_s,phase2_distance_m,phase2_travel_time_s,phase2_time_s,return_distance_m,return_time_s,phase3_time_s,rescue_return_distance_m,rescue_return_time_s,total_time_s,marker_1_grid,marker_2_grid,marker_3_grid,marker_4_grid
0,mixed,6.000,13.595,24.000,6.000,49,149.000,14.900,1.500,27.400,50.833,5.083,17.583,20.518,2.052,6.052,71.351,7.135,52.535,"(14,-15)","(26,-15)","(14,-9)","(2,-9)"
1,mixed,6.000,14.171,21.000,9.000,47,143.000,14.300,1.500,26.800,41.972,4.197,16.697,10.296,1.030,5.030,52.268,5.227,50.027,"(5,-9)","(20,-15)","(26,-6)","(26,-15)"
2,mixed,6.000,14.926,24.000,6.000,18,56.000,5.600,1.500,18.100,54.739,5.474,17.974,6.325,0.632,4.632,61.063,6.106,42.206,"(2,-6)","(2,0)","(11,0)","(26,0)"
3,clustered,4.243,10.891,15.000,9.000,42,128.000,12.800,1.500,25.300,51.617,5.162,17.662,10.000,1.000,5.000,61.617,6.162,49.462,"(8,-6)","(20,-12)","(17,-3)","(5,-9)"
4,mixed,6.708,12.472,18.000,12.000,52,158.000,15.800,1.500,28.300,56.683,5.668,18.168,10.000,1.000,5.000,66.683,6.668,52.968,"(8,-6)","(11,-12)","(5,-15)","(23,-3)"
5,clustered,3.000,9.872,15.000,6.000,24,74.000,7.400,1.500,19.900,49.523,4.952,17.452,20.881,2.088,6.088,70.403,7.040,44.940,"(20,-6)","(8,-3)","(23,0)","(11,-3)"
6,mixed,6.000,16.859,24.000,15.000,47,143.000,14.300,1.500,26.800,69.519,6.952,19.452,27.514,2.751,6.751,97.033,9.703,54.503,"(26,-9)","(20,-15)","(26,-3)","(2,0)"
7,clustered,4.243,10.678,15.000,12.000,40,122.000,12.200,1.500,24.700,44.358,4.436,16.936,14.213,1.421,5.421,58.570,5.857,48.557,"(11,-9)","(5,-6)","(14,-12)","(20,0)"
8,clustered,3.000,9.650,9.000,15.000,49,149.000,14.900,1.500,27.400,46.417,4.642,17.142,12.042,1.204,5.204,58.459,5.846,51.246,"(8,-9)","(11,0)","(14,-15)","(5,-9)"
9,clustered,3.000,7.453,12.000,6.000,24,74.000,7.400,1.500,19.900,35.718,3.572,16.072,14.000,1.400,5.400,49.718,4.972,42.872,"(14,0)","(20,-6)","(11,0)","(8,0)"
10,clustered,3.000,11.800,18.000,9.000,48,146.000,14.600,1.500,27.100,40.830,4.083,16.583,25.000,2.500,6.500,65.830,6.583,51.683,"(20,-15)","(2,-9)","(14,-6)","(17,-15)"
11,clustered,3.000,9.536,12.000,12.000,44,134.000,13.400,1.500,25.900,53.184,5.318,17.818,14.318,1.432,5.432,67.502,6.750,50.650,"(14,-3)","(17,0)","(26,-12)","(14,0)"
12,mixed,6.000,12.557,15.000,15.000,48,146.000,14.600,1.500,27.100,58.523,5.852,18.352,22.672,2.267,6.267,81.194,8.119,53.219,"(17,-15)","(8,0)","(23,-15)","(17,-6)"
13,mixed,6.708,14.113,18.000,12.000,50,152.000,15.200,1.500,27.700,48.940,4.894,17.394,8.544,0.854,4.854,57.484,5.748,51.448,"(8,-3)","(11,-15)","(23,-12)","(26,-6)"
14,clustered,4.243,13.206,21.000,9.000,52,158.000,15.800,1.500,28.300,49.444,4.944,17.444,15.811,1.581,5.581,65.255,6.526,52.826,"(5,-15)","(20,-6)","(23,-9)","(26,-15)"
15,mixed,6.708,14.753,21.000,15.000,53,161.000,16.100,1.500,28.600,58.493,5.849,18.349,14.422,1.442,5.442,72.916,7.292,53.892,"(8,-12)","(2,-15)","(17,-6)","(23,0)"
16,mixed,6.000,10.010,6.000,15.000,50,152.000,15.200,1.500,27.700,35.572,3.557,16.057,11.000,1.100,5.100,46.572,4.657,50.357,"(11,0)","(17,-15)","(11,-15)","(14,-9)"
17,clustered,4.243,9.083,15.000,6.000,39,119.000,11.900,1.500,24.400,32.767,3.277,15.777,18.028,1.803,5.803,50.795,5.080,47.480,"(17,-6)","(14,-9)","(26,-6)","(11,-12)"
18,spread,9.487,15.149,18.000,15.000,46,140.000,14.000,1.500,26.500,60.248,6.025,18.525,5.000,0.500,4.500,65.248,6.525,51.025,"(5,0)","(5,-12)","(23,-15)","(14,-3)"
19,clustered,4.243,13.788,24.000,6.000,43,131.000,13.100,1.500,25.600,63.185,6.319,18.819,25.942,2.594,6.594,89.128,8.913,52.513,"(23,-12)","(2,-9)","(26,-9)","(17,-6)"
20,clustered,3.000,5.906,3.000,9.000,44,134.000,13.400,1.500,25.900,16.243,1.624,14.124,23.195,2.319,6.319,39.437,3.944,47.844,"(23,-3)","(23,-12)","(26,-9)","(26,-12)"
21,mixed,6.708,11.497,18.000,6.000,31,95.000,9.500,1.500,22.000,35.010,3.501,16.001,5.831,0.583,4.583,40.841,4.084,44.084,"(5,-3)","(14,-9)","(23,-9)","(20,-3)"
22,clustered,4.243,10.540,18.000,6.000,36,110.000,11.000,1.500,23.500,50.675,5.068,17.568,10.296,1.030,5.030,60.971,6.097,47.597,"(5,-9)","(8,-6)","(2,-12)","(20,-6)"
23,spread,12.000,19.473,24.000,15.000,50,152.000,15.200,1.500,27.700,78.003,7.800,20.300,28.636,2.864,6.864,106.639,10.664,56.364,"(26,-12)","(11,-15)","(26,0)","(2,0)"
24,mixed,6.708,10.913,12.000,15.000,49,149.000,14.900,1.500,27.400,52.062,5.206,17.706,23.770,2.377,6.377,75.832,7.583,52.983,"(23,-6)","(14,-15)","(26,0)","(20,-12)"
25,spread,12.000,18.011,24.000,15.000,53,161.000,16.100,1.500,28.600,52.671,5.267,17.767,20.518,2.052,6.052,73.190,7.319,53.919,"(14,-15)","(26,-12)","(26,0)","(2,-15)"
26,clustered,3.000,14.787,15.000,15.000,51,155.000,15.500,1.500,28.000,54.510,5.451,17.951,23.000,2.300,6.300,77.510,7.751,53.751,"(23,0)","(8,-15)","(23,-15)","(8,-12)"
27,mixed,8.485,13.376,15.000,15.000,48,146.000,14.600,1.500,27.100,58.768,5.877,18.377,20.000,2.000,6.000,78.768,7.877,52.977,"(20,0)","(17,-15)","(23,-9)","(8,0)"
28,clustered,3.000,13.314,18.000,12.000,37,113.000,11.300,1.500,23.800,70.174,7.017,19.517,13.000,1.300,5.300,83.174,8.317,50.117,"(5,-12)","(23,0)","(5,-9)","(17,-3)"
29,mixed,6.708,11.714,18.000,9.000,29,89.000,8.900,1.500,21.400,35.114,3.511,16.011,17.000,1.700,5.700,52.114,5.211,44.611,"(17,0)","(2,-3)","(11,-3)","(20,-9)"
30,clustered,4.243,10.561,15.000,12.000,50,152.000,15.200,1.500,27.700,52.436,5.244,17.744,17.263,1.726,5.726,69.698,6.970,52.670,"(17,-3)","(26,-6)","(11,-15)","(20,-6)"
