phase1_speed_mps,seed,layout_class,all_found_index,search_distance_m,phase1_time_s,phase2_time_s,phase3_time_s,total_time_s,marker_visible_time_s,marker_visible_frames_60fps,frame_margin_vs_20
5.0,0,mixed,49,149.000,42.300,17.583,6.052,67.435,0.600,36.0,1.80
5.0,1,mixed,47,143.000,41.100,16.697,5.030,64.327,0.600,36.0,1.80
5.0,2,mixed,18,56.000,23.700,17.974,4.632,47.806,0.600,36.0,1.80
5.0,3,clustered,42,128.000,38.100,17.662,5.000,62.262,0.600,36.0,1.80
5.0,4,mixed,52,158.000,44.100,18.168,5.000,68.768,0.600,36.0,1.80
5.0,5,clustered,24,74.000,27.300,17.452,6.088,52.340,0.600,36.0,1.80
5.0,6,mixed,47,143.000,41.100,19.452,6.751,68.803,0.600,36.0,1.80
5.0,7,clustered,40,122.000,36.900,16.936,5.421,60.757,0.600,36.0,1.80
5.0,8,clustered,49,149.000,42.300,17.142,5.204,66.146,0.600,36.0,1.80
5.0,9,clustered,24,74.000,27.300,16.072,5.400,50.272,0.600,36.0,1.80
5.0,10,clustered,48,146.000,41.700,16.583,6.500,66.283,0.600,36.0,1.80
5.0,11,clustered,44,134.000,39.300,17.818,5.432,64.050,0.600,36.0,1.80
5.0,12,mixed,48,146.000,41.700,18.352,6.267,67.819,0.600,36.0,1.80
5.0,13,mixed,50,152.000,42.900,17.394,4.854,66.648,0.600,36.0,1.80
5.0,14,clustered,52,158.000,44.100,17.444,5.581,68.626,0.600,36.0,1.80
5.0,15,mixed,53,161.000,44.700,18.349,5.442,69.992,0.600,36.0,1.80
5.0,16,mixed,50,152.000,42.900,16.057,5.100,65.557,0.600,36.0,1.80
5.0,17,clustered,39,119.000,36.300,15.777,5.803,59.380,0.600,36.0,1.80
5.0,18,spread,46,140.000,40.500,18.525,4.500,65.025,0.600,36.0,1.80
5.0,19,clustered,43,131.000,38.700,18.819,6.594,65.613,0.600,36.0,1.80
5.0,20,clustered,44,134.000,39.300,14.124,6.319,61.244,0.600,36.0,1.80
5.0,21,mixed,31,95.000,31.500,16.001,4.583,53.584,0.600,36.0,1.80
5.0,22,clustered,36,110.000,34.500,17.568,5.030,58.597,0.600,36.0,1.80
5.0,23,spread,50,152.000,42.900,20.300,6.864,71.564,0.600,36.0,1.80
5.0,24,mixed,49,149.000,42.300,17.706,6.377,67.883,0.600,36.0,1.80
5.0,25,spread,53,161.000,44.700,17.767,6.052,70.019,0.600,36.0,1.80
5.0,26,clustered,51,155.000,43.500,17.951,6.300,69.251,0.600,36.0,1.80
5.0,27,mixed,48,146.000,41.700,18.377,6.000,67.577,0.600,36.0,1.80
5.0,28,clustered,37,113.000,35.100,19.517,5.300,61.417,0.600,36.0,1.80
5.0,29,mixed,29,89.000,30.300,16.011,5.700,53.511,0.600,36.0,1.80
5.0,30,clustered,50,152.000,42.900,17.744,5.726,67.870,0.600,36.0,1.80
5.0,31,clustered,53,161.000,44.700,19.758,5.513,71.472,0.600,36.0,1.80
5.0,32,clustered,39,119.000,36.300,15.101,4.361,57.262,0.600,36.0,1.80
5.0,33,mixed,47,143.000,41.100,18.604,6.500,67.704,0.600,36.0,1.80
5.0,34,mixed,42,128.000,38.100,18.044,5.803,63.446,0.600,36.0,1.80
5.0,35,mixed,45,137.000,39.900,19.466,5.700,66.566,0.600,36.0,1.80
5.0,36,mixed,36,110.000,34.500,18.948,5.253,60.201,0.600,36.0,1.80
5.0,37,clustered,43,131.000,38.700,17.505,6.594,64.299,0.600,36.0,1.80
5.0,38,clustered,45,137.000,39.900,15.149,6.022,62.571,0.600,36.0,1.80
5.0,39,mixed,49,149.000,42.300,17.216,5.442,66.458,0.600,36.0,1.80
5.0,40,mixed,42,128.000,38.100,17.867,5.400,62.867,0.600,36.0,1.80
5.0,41,clustered,49,149.000,42.300,16.044,6.052,65.896,0.600,36.0,1.80
5.0,42,clustered,37,113.000,35.100,19.131,6.022,61.754,0.600,36.0,1.80
5.0,43,mixed,50,152.000,42.900,17.094,4.922,66.416,0.600,36.0,1.80
5.0,44,clustered,31,95.000,31.500,14.973,5.664,53.637,0.600,36.0,1.80
5.0,45,clustered,41,125.000,37.500,16.552,4.800,60.352,0.600,36.0,1.80
5.0,46,mixed,42,128.000,38.100,17.062,4.361,61.022,0.600,36.0,1.80
5.0,47,clustered,22,68.000,26.100,15.979,5.140,48.719,0.600,36.0,1.80
5.0,48,mixed,34,104.000,33.300,17.831,5.700,58.331,0.600,36.0,1.80
5.0,49,mixed,37,113.000,35.100,15.020,4.361,55.980,0.600,36.0,1.80
5.0,50,clustered,41,125.000,37.500,16.197,6.081,61.278,0.600,36.0,1.80
5.0,51,spread,30,92.000,30.900,17.470,5.000,54.870,0.600,36.0,1.80
5.0,52,mixed,30,92.000,30.900,16.318,4.800,53.518,0.600,36.0,1.80
5.0,53,clustered,38,116.000,35.700,17.081,6.088,60.369,0.600,36.0,1.80
5.0,54,clustered,39,119.000,36.300,15.348,5.030,58.177,0.600,36.0,1.80
5.0,55,mixed,51,155.000,43.500,19.083,4.200,68.283,0.600,36.0,1.80
5.0,56,clustered,53,161.000,44.700,19.994,5.700,71.894,0.600,36.0,1.80
5.0,57,clustered,42,128.000,38.100,15.873,4.922,60.395,0.600,36.0,1.80
5.0,58,clustered,51,155.000,43.500,18.079,6.332,69.412,0.600,36.0,1.80
5.0,59,mixed,33,101.000,32.700,17.063,5.204,56.467,0.600,36.0,1.80
5.0,60,clustered,50,152.000,42.900,16.531,5.628,66.559,0.600,36.0,1.80
5.0,61,spread,41,125.000,37.500,17.797,6.081,62.878,0.600,36.0,1.80
5.0,62,clustered,47,143.000,41.100,18.787,6.500,67.887,0.600,36.0,1.80
5.0,63,mixed,50,152.000,42.900,17.074,5.432,66.906,0.600,36.0,1.80
5.0,64,clustered,48,146.000,41.700,16.735,6.267,66.202,0.600,36.0,1.80
5.0,65,clustered,50,152.000,42.900,15.590,5.664,65.655,0.600,36.0,1.80
5.0,66,mixed,39,119.000,36.300,15.714,4.361,57.875,0.600,36.0,1.80
5.0,67,spread,44,134.000,39.300,18.023,4.361,63.183,0.600,36.0,1.80
5.0,68,clustered,28,86.000,29.700,16.014,6.300,53.514,0.600,36.0,1.80
5.0,69,mixed,52,158.000,44.100,19.862,6.594,72.056,0.600,36.0,1.80
5.0,70,mixed,50,152.000,42.900,17.315,5.300,67.015,0.600,36.0,1.80
5.0,71,clustered,32,98.000,32.100,15.654,5.421,54.675,0.600,36.0,1.80
5.0,72,mixed,29,89.000,30.300,17.471,4.361,53.632,0.600,36.0,1.80
5.0,73,mixed,48,146.000,41.700,15.574,4.800,63.574,0.600,36.0,1.80
5.0,74,clustered,37,113.000,35.100,15.503,6.088,58.191,0.600,36.0,1.80
5.0,75,clustered,42,128.000,38.100,16.372,5.432,61.404,0.600,36.0,1.80
